id,team,year,driver_id,total_races
1,"Alfa Romeo",1950,1,7
2,"Alfa Romeo",1950,2,6
3,Talbot-Lago,1950,3,7
4,"Alfa Romeo",1950,4,6
5,Ferrari,1950,5,5
6,Ferrari,1950,6,3
7,Talbot-Lago,1950,7,3
8,Talbot-Lago,1950,8,6
9,Alta,1950,9,2
10,Maserati,1950,10,2
11,Talbot-Lago,1950,11,2
12,Talbot-Lago,1950,12,3
13,Talbot-Lago,1950,13,6
14,Talbot-Lago,1950,14,4
15,"Alfa Romeo",1950,15,1
16,ERA,1950,16,2
17,ERA,1950,17,3
18,Maserati,1950,18,2
19,Maserati,1950,19,1
20,Maserati,1950,20,1
21,Alta,1950,21,1
22,Maserati,1950,22,4
23,Maserati,1950,23,2
24,Maserati,1950,24,4
25,Maserati,1950,25,5
26,Talbot-Lago,1950,26,2
27,ERA,1950,27,1
28,ERA,1950,28,1
29,ERA,1950,29,1
30,"Kurtis Kraft Offenhauser",1950,30,1
31,"Deidt Offenhauser",1950,31,1
32,"Deidt Offenhauser",1950,32,1
33,"Kurtis Kraft Offenhauser",1950,33,1
34,"Kurtis Kraft Offenhauser",1950,34,1
35,"Kurtis Kraft Offenhauser",1950,35,1
36,"Moore Offenhauser",1950,36,1
37,"Kurtis Kraft Offenhauser",1950,37,1
38,"Lesovsky Offenhauser",1950,38,1
39,"Nichels Offenhauser",1950,39,1
40,"Kurtis Kraft Offenhauser",1950,40,1
41,"Marchese Offenhauser",1950,41,1
42,"Stevens Offenhauser",1950,42,1
43,"Kurtis Kraft Offenhauser",1950,43,1
44,"Kurtis Kraft Offenhauser",1950,44,1
45,"Lesovsky Offenhauser",1950,45,1
46,"Langley Offenhauser",1950,46,1
47,"Ewing Offenhauser",1950,47,1
48,"Kurtis Kraft Offenhauser",1950,48,1
49,"Kurtis Kraft Offenhauser",1950,49,1
50,"Maserati Offenhauser",1950,50,1
51,"Kurtis Kraft Offenhauser",1950,51,1
52,"Rae Offenhauser",1950,52,1
53,"Olson Offenhauser",1950,53,1
54,"Wetteroth Offerhauser",1950,54,1
55,"Maserati Offenhauser",1950,55,1
56,"Maserati Offenhauser",1950,56,1
57,"Snowberger Offenhauser",1950,57,1
58,"Adams Offenhauser",1950,58,1
59,"Kurtis Kraft Offenhauser",1950,56,1
60,"Kurtis Kraft Cummins",1950,59,1
61,"Kurtis Kraft Offenhauser",1950,60,1
62,"Deidt Offenhauser",1950,35,1
63,"Watson Offenhauser",1950,61,1
64,"Kurtis Kraft Offenhauser",1950,62,1
65,Ferrari,1950,12,2
66,Maserati,1950,63,2
67,Simca-Gordini,1950,64,3
68,"Cooper JAP",1950,65,1
69,Simca-Gordini,1950,66,2
70,Maserati,1950,67,3
71,Ferrari,1950,68,1
72,Ferrari,1950,69,2
73,Talbot-Lago,1950,70,1
74,"Alfa Romeo",1950,71,1
75,"Ferrari Jaguar",1950,72,1
76,Talbot-Lago,1950,73,1
77,"Maserati Milano",1950,74,1
78,"Alfa Romeo",1950,75,1
79,Maserati,1950,76,1
80,Talbot-Lago,1950,77,1
81,"Maserati Milano",1950,78,2
82,Maserati,1950,15,1
83,Maserati,1950,79,1
84,Talbot-Lago,1950,65,1
85,"Alfa Romeo",1951,1,8
86,Ferrari,1951,63,5
87,"Alfa Romeo",1951,4,8
88,Ferrari,1951,5,8
89,"Alfa Romeo",1951,78,4
90,"Alfa Romeo",1951,24,3
91,Talbot-Lago,1951,3,7
92,Talbot-Lago,1951,13,5
93,Simca-Gordini,1951,64,4
94,"Maserati Milano",1951,80,1
95,Ferrari,1951,6,7
96,Simca-Gordini,1951,81,4
97,Talbot-Lago,1951,8,7
98,Ferrari,1951,71,5
99,Simca-Gordini,1951,66,4
100,Talbot-Lago,1951,82,1
101,Talbot-Lago,1951,14,6
102,Talbot-Lago,1951,25,6
103,"Maserati OSCA",1951,22,1
104,Talbot-Lago,1951,83,1
105,Talbot-Lago,1951,7,3
106,"Alfa Romeo",1951,75,4
107,BRM,1951,15,1
108,BRM,1951,27,1
109,ERA,1951,20,1
110,"Thin Wall Ferrari",1951,69,1
111,ERA,1951,16,1
112,Talbot-Lago,1951,84,2
113,Alta,1951,21,1
114,Maserati,1951,85,1
115,Maserati,1951,23,1
116,Maserati,1951,86,1
117,"Kurtis Kraft Offenhauser",1951,36,1
118,"Kurtis Kraft Offenhauser",1951,87,1
119,"Kurtis Kraft Offenhauser",1951,88,1
120,"Kurtis Kraft Offenhauser",1951,44,1
121,"Sherman Offenhauser",1951,89,1
122,"Schroeder Offenhauser",1951,90,1
123,"Moore Offenhauser",1951,55,1
124,"Kurtis Kraft Offenhauser",1951,91,1
125,"Deidt Offenhauser",1951,42,1
126,"Deidt Offenhauser",1951,35,1
127,"Kurtis Kraft Novi",1951,92,1
128,"Kurtis Kraft Offenhauser",1951,93,1
129,"Kurtis Kraft Offenhauser",1951,60,1
130,"Kurtis Kraft Offenhauser",1951,57,1
131,"Deidt Offenhauser",1951,32,1
132,"Kuzma Offenhauser",1951,37,1
133,"Pawl Offenhauser",1951,47,1
134,"Kurtis Kraft Offenhauser",1951,56,1
135,"Kurtis Kraft Offenhauser",1951,94,1
136,"Hall Offenhauser",1951,95,1
137,"Marchese Offenhauser",1951,96,1
138,"Kurtis Kraft Offenhauser",1951,30,1
139,"Kurtis Kraft Offenhauser",1951,33,1
140,"Kurtis Kraft Offenhauser",1951,45,1
141,"Schroeder Offenhauser",1951,62,1
142,"Kurtis Kraft Novi",1951,97,1
143,"Kurtis Kraft Offenhauser",1951,49,1
144,"Bromme Offenhauser",1951,98,1
145,"Kurtis Kraft Offenhauser",1951,99,1
146,"Trevis Offenhauser",1951,100,1
147,"Lesovsky Offenhauser",1951,38,1
148,"Deidt Offenhauser",1951,43,1
149,Maserati-Offenhauser,1951,48,1
150,"Watson Offenhauser",1951,101,1
151,OSCA,1951,67,1
152,Talbot-Lago,1951,102,2
153,Ferrari,1951,69,3
154,Ferrari,1951,103,1
155,"Alfa Romeo",1951,2,2
156,"Thin Wall Ferrari",1951,15,1
157,Talbot-Lago,1951,11,1
158,Talbot-Lago,1951,70,2
159,Simca-Gordini,1951,104,1
160,Maserati,1951,65,2
161,"Maserati Milano",1951,105,1
162,Maserati,1951,24,2
163,Ferrari,1951,106,2
164,"Alfa Romeo",1951,76,1
165,Maserati,1951,10,1
166,Maserati,1951,25,1
167,"HWM Alta",1951,107,1
168,Talbot-Lago,1951,73,1
169,"HWM Alta",1951,108,1
170,Talbot-Lago,1951,63,1
171,Veritas,1951,109,1
172,Ferrari,1952,5,7
173,Ferrari,1952,4,8
174,Gordini,1952,64,7
175,"Cooper Bristol",1952,110,5
176,"HWM Alta",1952,111,2
177,"Cooper Bristol",1952,112,4
178,Ferrari,1952,113,2
179,Gordini,1952,8,1
180,"Cooper Bristol",1952,114,4
181,Gordini,1952,22,4
182,"HWM Alta",1952,115,5
183,"HWM Alta",1952,116,1
184,Veritas,1952,117,1
185,Simca-Gordini,1952,118,1
186,"HWM Alta",1952,119,3
187,"Aston Butterworth",1952,120,1
188,Gordini,1952,121,6
189,Ferrari,1952,71,6
190,"Frazer Nash",1952,122,3
191,Ferrari,1952,3,4
192,"HWM Alta",1952,123,4
193,"ERA Bristol",1952,107,3
194,Ferrari,1952,6,2
195,Gordini,1952,66,5
196,"HWM Alta",1952,84,2
197,Maserati,1952,103,2
198,Maserati,1952,124,2
199,"HWM Alta",1952,125,1
200,"Connaught Lea Francis",1952,126,2
201,Simca-Gordini,1952,111,1
202,Maserati,1952,127,4
203,"Connaught Lea Francis",1952,128,2
204,"Connaught Lea Francis",1952,129,1
205,"Cooper Bristol",1952,15,1
206,Ferrari,1952,130,1
207,Ferrari,1952,69,1
208,Alta,1952,131,1
209,Ferrari,1952,106,5
210,Simca-Gordini,1952,8,2
211,"Connaught Lea Francis",1952,132,2
212,"Maserati Plate",1952,65,4
213,"Maserati Plate",1952,24,3
214,"Frazer Nash Bristol",1952,133,1
215,"Cooper Bristol",1952,23,1
216,Ferrari,1952,109,3
217,Maserati,1952,134,3
218,"Kuzma Offenhauser",1952,45,1
219,"Kurtis Kraft Offenhauser",1952,54,1
220,"Kurtis Kraft Offenhauser",1952,60,1
221,"Lesovsky Offenhauser",1952,42,1
222,"Kurtis Kraft Offenhauser",1952,135,1
223,"Kurtis Kraft Offenhauser",1952,136,1
224,"Kurtis Kraft Offenhauser",1952,137,1
225,"Kurtis Kraft Offenhauser",1952,38,1
226,"Kurtis Kraft Offenhauser",1952,99,1
227,"Kurtis Kraft Offenhauser",1952,30,1
228,"Kurtis Kraft Offenhauser",1952,44,1
229,"Watson Offenhauser",1952,138,1
230,"Kurtis Kraft Offenhauser",1952,101,1
231,"Stevens Offenhauser",1952,57,1
232,"Sherman Offenhauser",1952,139,1
233,"Trevis Offenhauser",1952,140,1
234,"Kurtis Kraft Offenhauser",1952,100,1
235,"Kurtis Kraft Offenhauser",1952,96,1
236,"Lesovsky Offenhauser",1952,55,1
237,"Lesovsky Offenhauser",1952,88,1
238,"Kurtis Kraft Offenhauser",1952,48,1
239,"Bromme Offenhauser",1952,50,1
240,"Kurtis Kraft Offenhauser",1952,98,1
241,"Deidt Offenhauser",1952,35,1
242,"Kurtis Kraft Novi",1952,92,1
243,"Kurtis Kraft Offenhauser",1952,141,1
244,"Kurtis Kraft Cummins",1952,56,1
245,"Kurtis Kraft Offenhauser",1952,46,1
246,"Kurtis Kraft Offenhauser",1952,142,1
247,"Kurtis Kraft Novi",1952,97,1
248,"Stevens Offenhauser",1952,90,1
249,"Kurtis Kraft Offenhauser",1952,89,1
250,Maserati,1952,63,1
251,Maserati,1952,78,2
252,Ferrari,1952,81,2
253,"Cooper Bristol",1952,122,1
254,"Connaught Lea Francis",1952,107,1
255,Maserati,1952,67,1
256,OSCA,1952,143,1
257,Maserati,1952,13,1
258,"HWM Alta",1952,14,1
259,Ferrari,1952,74,1
260,Alta,1952,69,1
261,Ferrari,1952,144,2
262,Ferrari,1952,116,1
263,Veritas,1952,145,1
264,Veritas,1952,146,2
265,"AFM BMW",1952,147,1
266,"HWM Alta",1952,8,1
267,Veritas,1952,148,1
268,BMW,1952,149,1
269,"AFM BMW",1952,150,1
270,BMW,1952,151,1
271,Veritas,1952,152,1
272,BMW,1952,153,1
273,BMW,1952,154,1
