id,name,year,rain_affected
1,Belgium,1950,
2,"Great Britain",1950,
3,"Indianapolis 500",1950,1
4,Monaco,1950,
5,Italy,1950,
6,France,1950,
7,Switzerland,1950,
8,Spain,1951,
9,Belgium,1951,
10,"Great Britain",1951,
11,"Indianapolis 500",1951,
12,Italy,1951,
13,France,1951,
14,Germany,1951,
15,Switzerland,1951,1
16,Belgium,1952,1
17,Netherlands,1952,1
18,"Great Britain",1952,
19,"Indianapolis 500",1952,
20,Italy,1952,
21,France,1952,1
22,Germany,1952,
23,Switzerland,1952,
24,Belgium,1953,
25,Netherlands,1953,
26,Argentina,1953,
27,"Great Britain",1953,1
28,"Indianapolis 500",1953,
29,Italy,1953,
30,France,1953,
31,Germany,1953,
32,Switzerland,1953,
33,Spain,1954,
34,Belgium,1954,
35,Argentina,1954,1
36,"Great Britain",1954,1
37,"Indianapolis 500",1954,
38,Italy,1954,
39,France,1954,1
40,Germany,1954,
41,Switzerland,1954,1
42,Belgium,1955,
43,Netherlands,1955,1
44,Argentina,1955,
45,"Great Britain",1955,
46,"Indianapolis 500",1955,
47,Monaco,1955,
48,Italy,1955,
49,Belgium,1956,1
50,Argentina,1956,
51,"Great Britain",1956,
52,"Indianapolis 500",1956,
53,Monaco,1956,
54,Italy,1956,1
55,France,1956,
56,Germany,1956,
57,Argentina,1957,
58,"Great Britain",1957,
59,Pescara,1957,
60,"Indianapolis 500",1957,
61,Monaco,1957,
62,Italy,1957,
63,France,1957,
64,Germany,1957,
65,Belgium,1958,
66,Netherlands,1958,
67,Morocco,1958,
68,Argentina,1958,
69,"Great Britain",1958,
70,Portugal,1958,
71,"Indianapolis 500",1958,
72,Monaco,1958,
73,Italy,1958,
74,France,1958,
75,Germany,1958,
76,Netherlands,1959,
77,"Great Britain",1959,
78,Portugal,1959,
79,"Indianapolis 500",1959,
80,Monaco,1959,
81,Italy,1959,
82,France,1959,
83,Germany,1959,
84,"United States",1959,
85,Belgium,1960,
86,Netherlands,1960,
87,Argentina,1960,
88,"Great Britain",1960,
89,Portugal,1960,
90,"Indianapolis 500",1960,
91,Monaco,1960,1
92,Italy,1960,
93,France,1960,
94,"United States",1960,
95,Belgium,1961,
96,Netherlands,1961,
97,"Great Britain",1961,1
98,Monaco,1961,
99,Italy,1961,
100,France,1961,
101,Germany,1961,1
102,"United States",1961,
103,Belgium,1962,
104,Netherlands,1962,
105,"Great Britain",1962,
106,"South Africa",1962,
107,Monaco,1962,
108,Italy,1962,
109,France,1962,
110,Germany,1962,1
111,"United States",1962,
112,Belgium,1963,1
113,Netherlands,1963,
114,"Great Britain",1963,
115,"South Africa",1963,
116,Monaco,1963,
117,Italy,1963,
118,France,1963,1
119,Germany,1963,
120,"United States",1963,
121,Mexico,1963,
122,Belgium,1964,
123,Netherlands,1964,
124,"Great Britain",1964,
125,Austria,1964,
126,Monaco,1964,
127,Italy,1964,
128,France,1964,
129,Germany,1964,
130,"United States",1964,
131,Mexico,1964,
132,Belgium,1965,1
133,Netherlands,1965,
134,"Great Britain",1965,
135,"South Africa",1965,
136,Monaco,1965,
137,Italy,1965,
138,France,1965,
139,Germany,1965,
140,"United States",1965,1
141,Mexico,1965,
142,Belgium,1966,1
143,Netherlands,1966,
144,"Great Britain",1966,1
145,Monaco,1966,
146,Italy,1966,
147,France,1966,
148,Germany,1966,1
149,"United States",1966,
150,Mexico,1966,
151,Belgium,1967,
152,Netherlands,1967,
153,"Great Britain",1967,
154,"South Africa",1967,
155,Monaco,1967,
156,Italy,1967,
157,France,1967,
158,Germany,1967,
159,"United States",1967,
160,Canada,1967,1
161,Mexico,1967,
162,Spain,1968,
163,Belgium,1968,
164,Netherlands,1968,1
165,"Great Britain",1968,
166,"South Africa",1968,
167,Monaco,1968,
168,Italy,1968,
169,France,1968,1
170,Germany,1968,1
171,"United States",1968,
172,Canada,1968,
173,Mexico,1968,
174,Spain,1969,
175,Netherlands,1969,
176,"Great Britain",1969,
177,"South Africa",1969,
178,Monaco,1969,
179,Italy,1969,
180,France,1969,
181,Germany,1969,
182,"United States",1969,
183,Canada,1969,
184,Mexico,1969,
185,Spain,1970,
186,Belgium,1970,
187,Netherlands,1970,
188,"Great Britain",1970,
189,Austria,1970,
190,"South Africa",1970,
191,Monaco,1970,
192,Italy,1970,
193,France,1970,
194,Germany,1970,
195,"United States",1970,
196,Canada,1970,
197,Mexico,1970,
198,Spain,1971,
199,Netherlands,1971,1
200,"Great Britain",1971,
201,Austria,1971,
202,"South Africa",1971,
203,Monaco,1971,
204,Italy,1971,
205,France,1971,
206,Germany,1971,
207,"United States",1971,
208,Canada,1971,1
209,Spain,1972,1
210,Belgium,1972,
211,Argentina,1972,
212,"Great Britain",1972,
213,Austria,1972,
214,"South Africa",1972,
215,Monaco,1972,1
216,Italy,1972,
217,France,1972,
218,Germany,1972,
219,"United States",1972,1
220,Canada,1972,
221,Spain,1973,
222,Belgium,1973,
223,Netherlands,1973,
224,Argentina,1973,
225,Brazil,1973,
226,"Great Britain",1973,1
227,Austria,1973,
228,"South Africa",1973,
229,Sweden,1973,
230,Monaco,1973,
231,Italy,1973,
232,France,1973,
233,Germany,1973,
234,"United States",1973,
235,Canada,1973,1
236,Spain,1974,1
237,Belgium,1974,
238,Netherlands,1974,
239,Argentina,1974,
240,Brazil,1974,1
241,"Great Britain",1974,
242,Austria,1974,
243,"South Africa",1974,
244,Sweden,1974,
245,Monaco,1974,
246,Italy,1974,
247,France,1974,
248,Germany,1974,1
249,"United States",1974,
250,Canada,1974,
251,Spain,1975,
252,Belgium,1975,
253,Netherlands,1975,1
254,Argentina,1975,
255,Brazil,1975,
256,"Great Britain",1975,1
257,Austria,1975,1
258,"South Africa",1975,
259,Sweden,1975,
260,Monaco,1975,1
261,Italy,1975,
262,France,1975,
263,Germany,1975,
264,"United States",1975,
265,Spain,1976,
266,Belgium,1976,
267,Netherlands,1976,
268,Brazil,1976,
269,"Great Britain",1976,
270,Austria,1976,
271,"South Africa",1976,
272,"USA East",1976,
273,Sweden,1976,
274,Monaco,1976,
275,"USA West",1976,
276,Italy,1976,1
277,France,1976,
278,Japan,1976,1
279,Germany,1976,1
280,Canada,1976,
281,Spain,1977,
282,Belgium,1977,1
283,Netherlands,1977,
284,Argentina,1977,
285,Brazil,1977,
286,"Great Britain",1977,
287,Austria,1977,
288,"South Africa",1977,
289,"USA East",1977,1
290,Sweden,1977,
291,Monaco,1977,
292,"USA West",1977,
293,Italy,1977,
294,France,1977,
295,Japan,1977,
296,Germany,1977,
297,Canada,1977,
298,Spain,1978,
299,Belgium,1978,
300,Netherlands,1978,
301,Argentina,1978,
302,Brazil,1978,
303,"Great Britain",1978,
304,Austria,1978,1
305,"South Africa",1978,
306,"USA East",1978,
307,Sweden,1978,
308,Monaco,1978,
309,"USA West",1978,
310,Italy,1978,
311,France,1978,
312,Germany,1978,
313,Canada,1978,
314,Spain,1979,
315,Belgium,1979,
316,Netherlands,1979,
317,Argentina,1979,
318,Brazil,1979,
319,"Great Britain",1979,
320,Austria,1979,
321,"South Africa",1979,1
322,"USA East",1979,1
323,Monaco,1979,
324,"USA West",1979,
325,Italy,1979,
326,France,1979,
327,Germany,1979,
328,Canada,1979,
329,Belgium,1980,
330,Netherlands,1980,
331,Argentina,1980,
332,Brazil,1980,
333,"Great Britain",1980,
334,Austria,1980,
335,"South Africa",1980,
336,"USA East",1980,
337,Monaco,1980,1
338,"USA West",1980,
339,Italy,1980,
340,France,1980,
341,Germany,1980,
342,Canada,1980,
343,Spain,1981,
344,Belgium,1981,1
345,Netherlands,1981,
346,Argentina,1981,
347,Brazil,1981,1
348,"Great Britain",1981,
349,Austria,1981,
350,"Las Vegas",1981,
351,Monaco,1981,
352,"USA West",1981,
353,Italy,1981,1
354,France,1981,1
355,Germany,1981,
356,"San Marino",1981,1
357,Canada,1981,1
358,Belgium,1982,
359,Netherlands,1982,
360,Brazil,1982,
361,"Great Britain",1982,
362,Detroit,1982,
363,Austria,1982,
364,"South Africa",1982,
365,"Las Vegas",1982,
366,Monaco,1982,1
367,"USA West",1982,
368,Italy,1982,
369,France,1982,
370,Germany,1982,
371,"San Marino",1982,
372,Canada,1982,
373,Switzerland,1982,
374,Europe,1983,
375,Belgium,1983,
376,Netherlands,1983,
377,Brazil,1983,
378,"Great Britain",1983,
379,Detroit,1983,
380,Austria,1983,
381,"South Africa",1983,
382,Monaco,1983,1
383,"USA West",1983,
384,Italy,1983,
385,France,1983,
386,Germany,1983,
387,"San Marino",1983,
388,Canada,1983,
389,Europe,1984,
390,Belgium,1984,
391,Netherlands,1984,
392,Brazil,1984,
393,"Great Britain",1984,
394,Detroit,1984,
395,Austria,1984,
396,"South Africa",1984,
397,Dallas,1984,
398,Portugal,1984,
399,Monaco,1984,1
400,Italy,1984,
401,France,1984,
402,Germany,1984,
403,"San Marino",1984,
404,Canada,1984,
405,Europe,1985,
406,Belgium,1985,1
407,Netherlands,1985,
408,Brazil,1985,
409,"Great Britain",1985,
410,Detroit,1985,
411,Austria,1985,
412,"South Africa",1985,
413,Portugal,1985,1
414,Monaco,1985,1
415,Italy,1985,
416,France,1985,
417,Germany,1985,
418,"San Marino",1985,
419,Canada,1985,
420,Australia,1985,
421,Spain,1986,
422,Belgium,1986,
423,Brazil,1986,
424,"Great Britain",1986,
425,Detroit,1986,
426,Austria,1986,
427,Hungary,1986,
428,Portugal,1986,
429,Monaco,1986,
430,Italy,1986,
431,France,1986,
432,Germany,1986,
433,"San Marino",1986,
434,Canada,1986,
435,Mexico,1986,
436,Australia,1986,
437,Spain,1987,
438,Belgium,1987,
439,Brazil,1987,
440,"Great Britain",1987,
441,Detroit,1987,
442,Austria,1987,
443,Hungary,1987,
444,Portugal,1987,
445,Monaco,1987,
446,Italy,1987,
447,France,1987,
448,Japan,1987,
449,Germany,1987,
