id,driver_id,year,races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,retirements_for_collisions,points,wins_not_from_pole,starting_position,season_races,races_until_now,races_record_until_now,championships_until_now,championships_record_until_now,champion_this_season
1,152,1952,1,0,0,0,0,0,0,0,0,0,0,0,0,19,8,1,22,0,1,0
2,168,1953,1,0,0,0,0,0,0,0,0,0,0,0,0,13,9,1,30,0,2,0
3,601,1987,15,0,0,0,0,0,0,0,10,0,3,0,0,311,16,15,176,0,5,0
4,601,1988,2,0,0,0,0,0,0,0,6,0,0,0,0,45,16,17,176,0,5,0
5,724,2007,17,0,0,0,0,3,0,0,49,2,5,4,0,345,17,17,255,0,7,0
6,724,2008,18,0,0,0,0,5,0,0,18,1,5,0,0,345,18,35,265,0,7,0
7,724,2009,17,0,0,0,1,2,0,0,19,17,3,15,0,233,17,52,282,0,7,0
8,724,2010,19,0,0,0,0,5,0,0,41,10,2,47,0,231,19,71,301,0,7,0
9,724,2011,19,0,0,0,0,2,0,0,39,13,1,42,0,220,19,90,320,0,7,0
10,724,2013,19,0,0,0,0,0,0,0,40,16,3,29,0,241,19,109,320,0,7,0
11,724,2014,19,0,0,0,0,2,0,0,8,8,5,0,0,279,19,128,320,0,7,0
12,615,1988,1,0,0,0,0,1,0,0,4,0,0,0,0,20,16,1,176,0,5,0
13,615,1990,15,0,1,0,0,1,0,0,31,3,2,37,0,233,16,16,208,0,5,0
14,615,1991,11,0,0,0,0,1,0,0,15,0,2,8,0,239,16,27,224,0,5,0
15,615,1992,14,0,0,0,0,3,0,0,75,0,3,22,0,243,16,41,240,0,5,0
16,615,1993,15,0,0,0,0,5,0,0,28,0,7,9,0,218,16,56,255,0,5,0
17,615,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,20,16,57,255,0,5,0
18,615,1995,5,0,0,0,0,0,0,0,24,0,2,12,0,81,17,62,255,0,5,0
19,221,1955,1,0,0,0,0,0,0,0,9,0,0,6,0,16,7,1,39,0,3,0
20,221,1956,1,0,0,0,0,0,0,0,0,0,1,0,0,27,8,2,49,0,4,0
21,221,1957,1,0,0,0,0,0,0,0,9,0,1,0,0,30,8,3,56,0,5,0
22,221,1959,1,0,0,0,0,0,0,0,10,0,0,0,0,23,9,4,62,0,5,0
23,221,1960,1,0,0,0,0,0,0,0,0,0,0,0,0,30,10,5,66,0,5,0
24,227,1955,1,0,0,0,0,0,0,0,0,0,1,0,0,22,7,1,39,0,3,0
25,227,1956,1,0,0,0,0,0,0,0,14,0,0,0,0,28,8,2,49,0,4,0
26,227,1957,1,0,0,0,0,0,0,0,0,0,1,0,0,8,8,3,56,0,5,0
27,227,1958,1,0,0,0,0,0,0,0,10,0,0,0,0,21,11,4,58,0,5,0
28,227,1959,1,0,0,0,0,0,0,0,10,0,0,0,0,28,9,5,62,0,5,0
29,418,1967,1,0,0,0,0,1,0,0,0,0,0,0,0,15,11,1,95,0,5,0
30,418,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,17,11,2,114,0,5,0
31,555,1980,13,0,0,0,0,1,0,0,52,0,2,46,0,186,14,13,176,0,5,0
32,555,1981,15,3,6,2,5,6,2,2,7,2,4,126,2,72,15,28,176,0,5,0
33,555,1982,16,2,4,5,9,1,0,0,6,6,3,116,1,45,16,44,176,0,5,0
34,555,1983,15,4,7,3,5,1,0,1,20,13,1,183,2,67,15,59,176,0,5,0
35,555,1984,16,7,9,3,11,1,1,1,9,5,2,226,4,48,16,75,176,0,5,0
36,555,1985,15,5,11,2,3,3,1,2,28,2,1,233,4,61,16,90,176,1,5,1
37,555,1986,16,4,11,1,3,0,0,0,28,7,1,233,3,68,16,106,176,2,5,1
38,555,1987,16,3,7,0,3,0,0,0,22,21,1,154,3,70,16,122,176,2,5,0
39,555,1988,16,7,14,2,12,3,0,2,13,0,1,301,5,40,16,138,176,2,5,0
40,555,1989,15,4,11,2,10,2,0,1,11,3,1,245,3,39,16,153,192,3,5,1
41,555,1990,15,5,9,0,4,1,0,0,29,4,0,225,5,70,16,168,208,3,5,0
42,555,1991,14,0,5,0,3,2,0,1,12,0,1,118,0,64,16,182,224,3,5,0
43,555,1993,16,7,12,13,16,5,2,4,1,1,1,271,1,19,16,198,255,4,5,1
44,112,1952,4,0,0,0,0,1,0,0,13,12,0,18,0,49,8,4,22,0,1,0
45,112,1953,4,0,0,0,0,1,0,0,15,0,0,2,0,74,9,8,30,0,2,0
46,502,1975,8,0,0,0,0,3,0,0,42,0,2,11,0,148,14,8,176,0,5,0
47,502,1976,14,0,0,0,0,3,0,0,89,0,2,43,0,250,16,22,176,0,5,0
48,502,1977,14,1,2,0,0,2,0,0,59,6,2,88,1,181,17,36,176,0,5,0
49,502,1978,16,0,1,0,0,1,0,0,36,14,1,53,0,162,16,52,176,0,5,0
50,502,1979,15,4,5,3,6,2,0,0,19,5,0,131,3,103,15,67,176,0,5,0
51,502,1980,14,5,10,3,4,1,0,0,22,10,0,209,4,56,14,81,176,1,5,1
52,502,1981,15,2,6,0,3,6,0,2,14,14,4,149,2,71,15,96,176,1,5,0
53,502,1983,1,0,0,0,0,0,0,0,0,0,0,0,0,12,15,97,176,1,5,0
54,502,1985,3,0,0,0,0,0,0,0,0,0,0,0,0,66,16,100,176,1,5,0
55,502,1986,16,0,0,0,0,0,0,0,42,0,4,23,0,269,16,116,176,1,5,0
56,405,1966,1,0,0,0,0,1,0,0,0,0,0,0,0,24,9,1,84,0,5,0
57,405,1967,2,0,0,0,0,0,0,0,19,0,0,8,0,35,11,3,95,0,5,0
58,278,1958,1,0,0,0,0,0,0,0,0,0,0,0,0,20,11,1,58,0,5,0
